CODE_CITY,CITY,UF,LATITUDE,LONGITUDE,HEIGHT,NM_UF
1700251,Abreulândia,TO,-9.62179071199836,-49.1624375554797,238.861866,TOCANTINS
2100055,Açailândia,MA,-4.95137700016248,-47.5066645931119,229.048825,MARANHÃO
2100105,Afonso Cunha,MA,-4.13501547687008,-43.3208690039685,67.197529,MARANHÃO
2100154,Água Doce Do Maranhão,MA,-2.84027827913681,-42.1155512017213,10.436902,MARANHÃO
1700301,Aguiarnópolis,TO,-6.5471708206181,-47.470456587945,173.193729,TOCANTINS
2100303,Aldeias Altas,MA,-4.63077949515206,-43.4687348529398,80.487172,MARANHÃO
1700350,Aliança Do Tocantins,TO,-11.3037430465089,-48.9412400221409,335.700857,TOCANTINS
1700400,Almas,TO,-11.5745234694478,-47.1741716842358,420.740438,TOCANTINS
2100436,Alto Alegre Do Maranhão,MA,-4.207227,-44.4482474945232,56.966469,MARANHÃO
2100501,Alto Parnaíba,MA,-9.10836593219112,-45.9273440133384,275.69814,MARANHÃO
1700707,Alvorada,TO,-12.4788153208227,-49.12681140673,302.24726,TOCANTINS
2200459,Alvorada Do Gurguéia,PI,-8.44395907228392,-43.8630715789216,268.783271,PIAUÍ
2100600,Amarante Do Maranhão,MA,-5.55766200018214,-46.7506375454972,250.762969,MARANHÃO
1701002,Ananás,TO,-6.36281815410008,-48.0797646061948,192.715457,TOCANTINS
2100808,Anapurus,MA,-3.66703466234686,-43.1057925096893,94.503552,MARANHÃO
2901403,Angical,BA,-12.0066827725325,-44.6958234827073,471.0,BAHIA
1701051,Angico,TO,-6.3877527497248,-47.8620778391735,270.833554,TOCANTINS
2200806,Antônio Almeida,PI,-7.21935583400696,-44.1965353200183,251.791863,PIAUÍ
1701101,Aparecida Do Rio Negro,TO,-9.9558777145605,-47.9766700113511,267.070795,TOCANTINS
1701309,Aragominas,TO,-7.1643492714437,-48.5234301922917,302.735223,TOCANTINS
1701903,Araguacema,TO,-8.80180254411115,-49.5618126396073,156.0,TOCANTINS
1702000,Araguaçu,TO,-12.9255837118616,-49.8286124432782,315.167807,TOCANTINS
1702109,Araguaína,TO,-7.19132893965496,-48.2087052518558,235.277019,TOCANTINS
1702158,Araguanã,TO,-6.58224942002919,-48.6437495469431,139.451152,TOCANTINS
1702208,Araguatins,TO,-5.65058647299995,-48.1235073430294,116.261365,TOCANTINS
2100907,Araioses,MA,-2.88925584643306,-41.8991394498654,10.104242,MARANHÃO
2100956,Arame,MA,-4.886081505,-46.0136362778351,128.643699,MARANHÃO
1702307,Arapoema,TO,-7.65256973541903,-49.0756373852721,209.446061,TOCANTINS
1702406,Arraias,TO,-12.9344198592593,-46.9461070585534,722.402051,TOCANTINS
1702554,Augustinópolis,TO,-5.46541429589652,-47.8809567910047,147.772414,TOCANTINS
1702703,Aurora Do Tocantins,TO,-12.7084898610615,-46.4070829808607,481.000844,TOCANTINS
2201101,Avelino Lopes,PI,-10.1347450128483,-43.9415101417959,432.625212,PIAUÍ
