city,period,eto_normal_mm_day,precip_normal_mm_year,valid_years,completeness
Alvorada_do_Gurgueia_PI,1961-1990,4.6,922.0,30,1.0
Alvorada_do_Gurgueia_PI,1981-2010,4.9,839.0,30,1.0
Alvorada_do_Gurgueia_PI,1991-2020,5.0,783.0,30,1.0
Araguaina_TO,1961-1990,3.8,1701.0,30,1.0
Araguaina_TO,1981-2010,3.9,1746.0,30,1.0
Araguaina_TO,1991-2020,3.9,1729.0,30,1.0
Balsas_MA,1961-1990,4.0,1254.0,30,1.0
Balsas_MA,1981-2010,4.1,1214.0,30,1.0
Balsas_MA,1991-2020,4.2,1184.0,30,1.0
Barreiras_BA,1961-1990,4.2,1060.0,30,1.0
Barreiras_BA,1981-2010,4.4,1000.0,30,1.0
Barreiras_BA,1991-2020,4.5,991.0,30,1.0
Bom_Jesus_PI,1961-1990,4.5,1008.0,30,1.0
Bom_Jesus_PI,1981-2010,4.7,909.0,30,1.0
Bom_Jesus_PI,1991-2020,4.8,870.0,30,1.0
Campos_Lindos_TO,1961-1990,3.9,1275.0,30,1.0
Campos_Lindos_TO,1981-2010,4.0,1371.0,30,1.0
Campos_Lindos_TO,1991-2020,4.0,1383.0,30,1.0
Carolina_MA,1961-1990,3.9,1545.0,30,1.0
Carolina_MA,1981-2010,4.0,1523.0,30,1.0
Carolina_MA,1991-2020,4.0,1514.0,30,1.0
Corrente_PI,1961-1990,4.2,1040.0,30,1.0
Corrente_PI,1981-2010,4.4,977.0,30,1.0
Corrente_PI,1991-2020,4.6,982.0,30,1.0
Formosa_do_Rio_Preto_BA,1961-1990,4.1,975.0,30,1.0
Formosa_do_Rio_Preto_BA,1981-2010,4.4,971.0,30,1.0
Formosa_do_Rio_Preto_BA,1991-2020,4.6,981.0,30,1.0
Imperatriz_MA,1961-1990,3.9,1419.0,30,1.0
Imperatriz_MA,1981-2010,4.0,1440.0,30,1.0
Imperatriz_MA,1991-2020,4.0,1435.0,30,1.0
Luiz_Eduardo_Magalhaes_BA,1961-1990,4.0,1388.0,30,1.0
Luiz_Eduardo_Magalhaes_BA,1981-2010,4.1,1369.0,30,1.0
Luiz_Eduardo_Magalhaes_BA,1991-2020,4.3,1214.0,30,1.0
Pedro_Afonso_TO,1961-1990,4.0,1665.0,30,1.0
Pedro_Afonso_TO,1981-2010,4.0,1717.0,30,1.0
Pedro_Afonso_TO,1991-2020,4.1,1648.0,30,1.0
Piracicaba_SP,1961-1990,3.5,1289.0,30,1.0
Piracicaba_SP,1981-2010,3.5,1341.0,30,1.0
Piracicaba_SP,1991-2020,3.5,1306.0,30,1.0
Porto_Nacional_TO,1961-1990,4.0,1651.0,30,1.0
Porto_Nacional_TO,1981-2010,4.1,1831.0,30,1.0
Porto_Nacional_TO,1991-2020,4.2,1753.0,30,1.0
Sao_Desiderio_BA,1961-1990,4.2,1110.0,30,1.0
Sao_Desiderio_BA,1981-2010,4.3,1044.0,30,1.0
Sao_Desiderio_BA,1991-2020,4.4,1019.0,30,1.0
Tasso_Fragoso_MA,1961-1990,4.1,1281.0,30,1.0
Tasso_Fragoso_MA,1981-2010,4.2,1313.0,30,1.0
Tasso_Fragoso_MA,1991-2020,4.3,1252.0,30,1.0
Urucui_PI,1961-1990,4.2,1088.0,30,1.0
Urucui_PI,1981-2010,4.4,1052.0,30,1.0
Urucui_PI,1991-2020,4.5,975.0,30,1.0
Addis_Ababa_Ethiopia,1981-2010,4.1,1807.0,20,0.6666666666666666
Addis_Ababa_Ethiopia,1991-2020,4.1,1741.0,30,1.0
Des_Moines_IA,1981-2010,2.8,946.0,20,0.6666666666666666
Des_Moines_IA,1991-2020,2.8,944.0,30,1.0
Fresno_CA,1981-2010,4.2,456.0,20,0.6666666666666666
Fresno_CA,1991-2020,4.3,416.0,30,1.0
Hanoi_Vietnam,1981-2010,3.0,1654.0,20,0.6666666666666666
Hanoi_Vietnam,1991-2020,3.0,1746.0,30,1.0
Krasnodar_Russia,1981-2010,2.7,698.0,20,0.6666666666666666
Krasnodar_Russia,1991-2020,2.8,664.0,30,1.0
Ludhiana_Punjab,1981-2010,4.3,834.0,20,0.6666666666666666
Ludhiana_Punjab,1991-2020,4.2,830.0,30,1.0
Mendoza_Argentina,1981-2010,3.8,482.0,20,0.6666666666666666
Mendoza_Argentina,1991-2020,3.9,451.0,30,1.0
Polokwane_Limpopo,1981-2010,4.2,634.0,20,0.6666666666666666
Polokwane_Limpopo,1991-2020,4.2,606.0,30,1.0
Seville_Spain,1981-2010,3.9,495.0,20,0.6666666666666666
Seville_Spain,1991-2020,4.0,479.0,30,1.0
Wagga_Wagga_Australia,1981-2010,3.8,595.0,20,0.6666666666666666
Wagga_Wagga_Australia,1991-2020,3.8,586.0,30,1.0
